author,publications
Tamvakopoulos G,1
Moses MA,1
Bethel H,1
Walker B,1
Lacquemant C,1
Delorme C,1
Chatellier G,1
Gallois Y,1
Rodier M,1
Passa P,3
Balkau B,1
Marre M,1
Froguel P,1
Erol A,2
Baskin LS,2
Li YW,2
Liu WH,2
Goldsmith JC,13
De Mitrio V,3
Marino R,9
Cicinelli E,1
Galantino P,1
Di Bari L,3
Giannoccaro F,2
De Pergola G,1
Lapecorella M,4
Schonauer S,1
Schiraldi O,3
Shin M,1
Kim B,9
Mar W,1
Fang M,2
Son J,1
Kim M,3
Kwak H,2
Bae M,2
Byun T,1
Park S,5
Chun B,1
Byun J,1
An G,1
Lee B,5
Cho M,1
Zwinnen H,2
Goovaerts I,2
Vanslembrouck V,3
Wahlfors JJ,2
Zullo SA,1
Loimas S,1
Nelson DM,2
Keller G,1
Brooks KR,1
Lau CL,1
Elpek GO,1
Aksoy NH,1
Karpuzoglu T,1
Keles N,1
Yang CT,1
Jin D,1
Komatsu F,1
Simonini A,1
Moscucci M,1
Muller DW,1
Bates ER,1
Pagani FD,1
Kantor R,2
Mayan H,1
Puritz L,1
Farfel Z,1
Ayala G,1
Nicosia R,1
Horowitz S,1
Lackman R,1
Sherer Y,2
Levy Y,2
Fabbrizzi F,2
Shoenfeld Y,3
Kiuru S,1
Javela K,1
Somer H,1
Kekomäki R,2
Orstavik KH,10
Schwartz M,6
Attfield JC,1
Cooke CJ,1
Nanjee MN,2
Olszewski WL,1
Morrissey JH,13
Miller NE,2
Lee DH,2
Teitel J,29
Ritchie B,4
Akabutu J,2
Sinclair GD,4
Wu JW,1
Reddy S,2
Carter C,3
Growe G,2
Lam M,1
Blajchman MA,9
Takano S,3
Tsuboi K,1
Matsumura A,3
Tomono Y,2
Mitsui Y,1
Miyagi Y,4
Ernault P,1
Luddington R,6
Jackson A,2
Pannerselvam S,1
Brown K,2
Spratt SK,2
Bohl D,1
Lagarde C,1
Sanchez L,1
Kaspar BA,1
Sloan BA,1
Lee YL,1
Danos O,2
Snyder RO,6
Devereux H,1
Phillips AN,5
Hill A,2
Janossy G,8
Loveday C,1
Li CH,2
Ou Y,1
Lee AC,1
So KT,1
Shair LH,1
Lu FM,1
Xia J,3
Locke R,1
Matta KL,1
Haltiwanger RS,1
Shiue Y-L,1
Millon LV,1
Skow LC,1
Honeycutt D,1
Murray JD,1
Bowling AT,1
Udomsubpayakul U,1
Jitpraphai C,2
Nuchprayoon C,1
Smith JF,1
Ness PM,8
Moroff G,2
Allen DL,1
Chen BG,1
Stief TW,2
Henkens CM,1
Ruiz JE,1
Holcomb K,1
Dimaio TM,1
Hollingsworth RA,1
Hay C,12
Richards B,1
Di Micco B,1
Caen J,4
Colonna G,1
Macalello MA,1
Marchese M,1
Stiuso P,1
Di Micco P,1
Morelli F,1
Metafora S,1
Medri L,1
Nanni O,1
Volpi A,1
Scarpi E,1
Dubini A,1
Riccobon A,1
Becciolini A,1
Amadori D,1
Yamada S,6
Perloff M,1
Barcos MP,1
Shen L,7
Dickinson PJ,1
Keel MK,1
Higgins RJ,2
Koblik PD,1
LeCouteur RA,1
Naydan DK,1
Bollen AW,2
Vernau W,1
Giglio S,1
Pirola B,1
Arrigo G,1
Dagrada P,1
Bardoni B,2
Russo G,2
Argentiero L,1
Forabosco A,1
Carrozzo R,1
Zuffardi O,1
Yamasaki M,1
Hirohashi K,5
Kinoshita H,7
Jurkovic I,1
Dudriková K,1
Böör A,2
Stenberg Y,1
Muranyi A,1
Tekelenburg WL,1
Yfantis HG,1
Drachenberg CB,1
Gray W,1
Papadimitriou JC,2
Kurz J,1
Doss MO,1
Kluft C,8
Suzuki Y,12
Yoshida YK,1
Shirane R,1
Yoshimoto T,1
Moriya T,2
Arruda V,1
Johnson F,1
Ton-That TT,1
Doron D,1
Pollard BS,1
Bacher J,1
Pollard HB,4
Zeiss CJ,2
Acland GM,1
Aguirre GD,1
Bykowska K,6
Lopaciuk S,10
Fraser HM,3
Dickson SE,2
Lunn SF,2
Wulff C,1
Morris KD,2
Carroll VA,1
Bicknell R,4
Li YL,3
Li CJ,2
Chen LP,1
Jiang YP,2
Gao H,2
Yaegash H,1
Reeves A,1
Edwards-Brown M,1
Petronelli M,2
Ranieri P,4
Tannoia N,1
Eyestone WH,1
Campbell KH,2
Yoneda K,3
Roelse JC,2
De Laaf RT,1
Timmermans SM,2
Van Mourik JA,8
Suggett S,2
Hass P,1
Lipari T,1
Nagel M,1
Judice K,1
Schroeder K,1
Tom J,1
Lowman H,1
Adams C,1
Eaton D,4
Kondo Y,3
Furutani M,1
Chiba T,1
Ricke WA,1
Redmer DA,7
Reynolds LP,6
O'Brien LM,5
Mao L,1
Bruce AT,1
Pfleiderer M,2
Fischer BE,3
Plaimauer B,2
Antoine G,4
Spadafora-Ferreira M,1
Lopes AA,1
Coelho V,1
Guilherme L,1
Kalil J,1
Young FM,1
Rodger FE,1
Illingworth PJ,1
Burckhardt JJ,1
Tagliavacca L,10
Kim SW,3
Quinn-Allen MA,2
Camp JT,1
Macedo-Ribeiro S,1
Fuentes-Prior P,4
Kane WH,7
Kim HW,4
Kwon YB,1
Kang MS,1
Choi DW,1
Na JH,1
Kwon OK,1
Youn HJ,1
Han HJ,2
Pyun JH,1
An GH,1
Lee YJ,2
Cho MH,1
Vesoulis Z,1
Cunliffe C,1
Endo T,4
Yatomi Y,3
Amemiya N,1
Mizoe A,1
Iino M,5
Ozawa H,2
Hosogaya S,1
Ozaki Y,3
Chediak J,7
Fink KI,1
Galvez AG,1
Sham RL,1
Husi H,1
Walkinshaw MD,1
Matsumoto H,3
Watanabe I,1
Kimoto T,1
Tsuyuguchi K,1
Niimi A,1
Tanaka E,4
Murayama T,1
Amitani R,1
Eble JN,1
King D,2
Bethwaite PB,2
Nacey JN,1
Thornton A,3
Chen YL,3
Tsai KW,1
Chang T,8
Hong TM,1
Tsai IH,3
Getzoff ED,2
Zarkova AG,1
Haan E,1
Kruitwagen CL,1
Sixma JJ,40
Shekhar MP,1
Werdell J,1
Tait L,1
Sharifi S,1
Hayek J,1
Khettry U,1
Nasser I,1
Golden NJ,3
Collins M,4
Sharpe AH,1
Raj P,1
Oliff J,1
Drake-Lee AB,1
Gutiérrez-Rodríguez M,1
Reyes-Maldonado E,4
Mayani H,1
Metcalf PA,1
Davis CE,7
Gargett CE,1
Bucak K,1
Kohnen G,2
Campbell S,4
Jeffers MD,1
Cameron IT,1
Péoc'h M,1
Le Duc G,1
Trayaud A,2
Farion R,1
Le Bas JF,1
Pasquier B,1
Rémy C,1
Kruger EA,1
Duray PH,2
Tsokos MG,1
Venzon DJ,1
Dixon SC,1
Rudek MA,1
Pluda J,1
Figg WD,1
Schneider W,4
Jacobi G,2
Auberger K,1
Mauz-Körholz C,3
Nakopoulou L,1
Lekkas N,1
Lazaris AC,1
Athanassiadou P,1
Giannopoulou I,1
Mavrommatis J,1
Bordallo A,1
Ara FI,1
Pollock DP,1
Kutzko JP,1
Birck-Wilson E,1
Williams JL,2
Echelard Y,1
Meade HM,1
Samis JA,3
Ramsey GD,1
Walker JB,1
Nesheim ME,15
Balagué C,2
Dai Y,8
Alemany R,3
Josephs SF,2
Andreason G,1
Hariharan M,1
Sethi E,2
Prokopenko E,2
Jan HY,1
Lou YC,2
Hubert-Leslie D,2
Ruiz L,3
Zhang WW,5
Ketterling RP,27
Vielhaber E,5
Schaid DJ,3
Phillips JA 3rd,8
Sexauer C,4
Ambriz R,4
Paredes R,3
Falk B,2
Portal S,2
Tiktinsky R,2
Weinstein Y,2
Constantini N,2
Ahmed S,3
Ali W,1
Anwar M,1
Raashid Y,1
Jameel T,1
Ayub M,1
Zafar T,2
Karamat KA,1
Saleem M,1
Miyakawa R,3
Fujii A,3
Ratcliffe M,1
Broadfoot C,1
Davidson M,1
Kelly KF,1
Greaves M,8
Koike M,7
Raicević R,1
Jovicić A,1
Mandić-Radić S,1
Krgović M,1
Magdić B,1
Marković L,1
Hajduković D,1
Jovic P,1
Surowiec SM,1
Conklin BS,1
Li JS,1
Lin PH,3
Weiss VJ,1
Lumsden AB,1
van Roey M,1
Patel SD,1
Jacobsen MC,1
Boyer M,1
Vogel LM,1
Falk J,1
Reitz-Vick D,1
Trevor KT,1
Villalba M,1
Mateijsen MA,1
van der Wal AC,2
Hendriks PM,1
Zweers MM,1
Mulder J,1
Struijk DG,1
Krediet RT,1
Tobia LP,1
Kwok DC,1
Römisch J,6
Feussner A,5
Vermöhlen S,1
Stöhr HA,1
Sagarra M,1
Lucas M,1
De La Torre E,1
Almagro D,1
González R,1
García T,1
Menéndez A,1
González A,1
Stewart AJ,4
Manson LM,1
Dennis R,3
Allan PL,1
Kadir RA,13
Goldman E,10
Pollard D,7
Economides DL,6
Rolland N,1
Lebrun T,1
Dirat G,3
Courpied JP,1
Croughs T,1
Duprat I,1
De Brasi C,2
Candela M,17
Cermelj M,2
Slavutsky I,1
Larripa I,1
De Tezanos Pinto M,1
Remstein ED,1
Kurtin PJ,2
Nascimento AG,3
Ellis RJ,1
Cunningham MT,2
Cook JD,1
Sabol DA,1
Basista MH,1
Brecher AS,3
Haider K,1
Kleshinski J,1
Yu TJ,1
Meade TW,13
Thano-Otarakul P,1
Järvinen O,3
Lehesjoki AE,8
Lindlöf M,3
Uutela A,3
Kääriäinen H,4
Silverman AJ,1
Sutherland AK,1
Wilhelm M,1
Silver R,1
van Den Brink EN,1
Davies J,2
Ouwehand WH,3
Horikoshi K,1
Yamataka A,1
Yamataka T,1
Okazaki T,1
Lane GJ,1
Miyano T,1
Ozkal S,1
Küpelioğlu A,1
Foley SJ,1
Bailey DM,1
Lorsbach RB,1
Folkerth RD,2
Pinkus GS,3
Keating A,5
Nolan E,1
Filshie R,1
Dev SB,1
Dong C,1
Granville DJ,1
Tuffnel CE,1
Kenyon J,1
English D,1
Wilson JE,1
McManus BM,2
Heese J,1
Bocklage T,1
Gomperts E,12
Schroth P,9
Barrowcliffe T,6
Pung-amritt P,1
Barros-Núñez P,1
Figuera LE,1
Rivas F,1
Cantú JM,2
Zhang YZ,2
Liu JX,1
Shao HZ,2
Chi ZW,1
Wang HL,7
Chen SJ,6
Chen Z,24
Wang ZY,3
Roy S,5
Yakhyaev AV,2
Mikhailenko I,1
Strickland DK,8
Narukawa N,1
Shouno M,1
Kitabata Y,1
Kobata H,1
Akizawa T,2
Ogata H,1
Sakai S,2
Koiwa F,1
Tayama H,1
Kinugasa E,1
Ideura T,1
Gerlacher GR,1
Vander Elst L,2
Bakkus M,2
Thielemans K,2
Waseem NH,5
Galan AM,2
Hernandez MR,1
Ayares D,1
Rockow-Magnone S,1
Gill JC,25
Llewelyn CA,1
Fisher NC,2
Allain JP,22
Bellamy MC,2
Baglin TP,6
Freeman J,1
Klinck JR,1
Ala FA,3
Smith N,4
Neuberger J,2
Wreghitt TG,1
Colman A,2
Van Cott KE,5
Butler SP,3
Russell CG,1
Subramanian A,2
Lubon H,3
Gwazdauskas FC,2
Knight J,1
Drohan WN,13
Velander WH,11
Cviko A,1
Milic Z,1
Cizmic A,1
Seiwerth S,2
Kruslin B,1
Valocik R,2
Koster P,3
Patel A,6
Durin A,4
Pernod G,6
Gay V,5
Ménart C,3
Fechner RE,2
Stoylova SS,1
Zhao M,8
Chen BP,1
Rumi MG,2
Colombo M,12
Lin YH,4
Ramaswamy L,1
Luna J,1
Liu JK,1
Prati D,1
Brenig B,2
Leeb T,2
Jansen S,1
Kopp T,1
Shen CH,1
Tsai MH,1
Chen TC,1
Liu NJ,1
Sheen IS,1
Seeler RA,1
Vnencak-Jones CL,3
Bassett LM,1
Gilbert JB,1
Michaelis RC,1
Carola A,1
Parisi V,1
Cremona F,1
De Biasi R,6
Batlle J,10
Lopez MF,1
Humbert J,1
Maass E,1
Grosset AB,1
McGregor JR,1
Samlowski WE,1
Kayda DB,4
Gardner JM,6
Haack A,4
Schneider-Rasp S,2
Thalheimer P,2
Casey GJ,3
Hall JR,1
Weller L,1
Gregor A,2
Rippstein P,1
Omulecka A,2
Belanger MC,1
Mikaelian I,1
Girard C,1
Daminet S,1
Rössing C,2
Strauss F,2
Bauerfeind A,1
Kaufmann O,2
Loening S,1
Saad S,3
Lewis CM,2
Hensel F,1
Souto Carneiro MM,1
Starostik P,1
Ristow G,1
König A,1
Vollmers HP,2
Müller-Hermelink HK,2
Bremme K,10
Van Gelder CM,1
Doherty JM,1
Shatos MA,2
Dufau JP,1
le Tourneau A,1
Delmer A,1
Kraus MD,1
Dehner LP,5
Trifillis AL,3
Lipshutz GS,4
Flebbe-Rehwaldt L,2
Kazazian H,1
Gaensler KM,4
DellaCroce FJ,1
Kountakis S,1
Aguilar EF 3rd,1
Alumkal J,1
Vempathy H,1
McCarthy JJ,1
Riggs SA,1
Bagnall R,4
Staudinger T,1
Frass M,1
Wagner O,2
Stoiser B,1
Locker GJ,1
Laczika K,1
Knapp S,1
Watzke H,1
Moussalli M,5
Wakefield TW,3
Linn MJ,1
Henke PK,2
Kadell AM,1
Wilke CA,1
Wrobleski SK,1
Sarkar M,1
Myers DD,1
Boulis NM,1
Bobek MP,1
Schmaier A,1
Hoff JT,1
Marina S,1
Expósito R,1
Marina F,1
Nadal J,1
Masramón M,1
Vergés A,1
Théry C,7
Regnault A,4
Garin J,1
Wolfers J,1
Zitvogel L,1
Ricciardi-Castagnoli P,1
Raposo G,2
Amigorena S,5
Ogasawara M,1
Murata J,1
Kamitani Y,1
Hayashi K,11
Saiki I,1
Petinos P,1
Koutts J,14
Brooks M,7
Catalfamo J,4
Maurice M,1
Guérois C,7
Facey D,1
Henniker A,1
De Placido S,1
Carlomagno C,1
Ciardiello F,3
De Laurentiis M,1
Pepe S,1
Ruggiero A,1
Tortora G,3
Panico L,2
D'Antonio A,2
Petrella G,1
Bianco AR,3
Cunningham J,1
Mitchell R,2
Chu V,1
Kuang Jq,1
McGinn A,1
Korkola S,1
Chiu RC,2
Trotta F,2
Bajocchi G,1
La Corte R,1
Moratelli S,2
Sun LY,1
Kleinveld HA,1
Andersson NE,2
van Voorthuizen H,1
den Hartog J,1
Lookene A,1
Olivecrona G,1
Mielnik-Błaszczak M,1
Lim YP,2
Robinson S,5
Pichler L,1
Eder G,3
Berbari P,1
Thibodeau A,1
Saint-Cyr M,1
Gaudreau P,1
Elkhouri S,1
Dupont E,1
Garrel DR,1
Elkouri S,1
Hanke H,1
Kamenz J,1
Hanke S,1
Spiess J,1
Lenz C,1
Brehme U,1
Bruck B,1
Finking G,1
Hombach V,1
Bugelski P,1
Nichols AJ,1
Church WR,6
Baker A,1
Keihani M,1
Elahi F,1
Samulski R,1
Monahan P,4
Walsh C,8
Tsao MN,1
Lu G,2
Bruley DF,1
Ohta Y,4
Tomita Y,3
Watanabe S,4
Watanabe Y,7
Mäkitie T,1
Summanen P,1
Tarkkanen A,1
Kivelä T,1
Balduini CL,1
Noris P,1
Belletti S,1
Spedini P,1
Gamba G,10
Cowan LD,1
Hudson LS,1
Erickson BK,1
Huszti HC,1
Neas BR,1
Kinney SK,1
Asal NR,1
Horiguchi H,2
Hirose T,9
Sano T,6
Nagahiro S,2
Katoh M,1
Shigematsu H,1
Mulvany NJ,1
Silvester AC,1
Collins JP,1
Halbmayer WM,2
Graham JC,1
Myers RK,1
Cooper RA,2
West CM,2
Wilks DP,2
Logue JP,2
Davidson SE,2
Roberts SA,5
Hunter RD,2
Peek M,1
Hauser I,3
Tison T,4
Scarano L,3
Francis JD,2
Leary T,1
Niblett DJ,1
Hoag H,1
Gore J,1
Barry D,1
Mueller C,3
Maniotis AJ,1
Folberg R,1
Hess A,1
Seftor EA,1
Gardner LM,1
Pe'er J,1
Trent JM,1
Meltzer PS,2
Hendrix MJ,2
Shridhar V,1
Bright RK,1
Kalemkerian GP,1
Du W,3
Carbone M,1
Pass HI,1
Inui K,2
Miyagawa H,1
Sashihara J,1
Miyoshi H,2
Tanaka-Taya K,1
Nishigaki T,1
Teraoka S,1
Mano T,1
Ono J,1
Okada S,2
Katsuta O,1
Doi T,4
Okazaki Y,1
Wako Y,1
Tsuchitani M,1
Greco N,1
Allen EA,2
Burger PC,1
Epstein JI,5
Herrmann D,1
Lemme E,1
Gettman MT,2
Pacelli A,1
Slezak J,1
Bergstralh EJ,2
Blute M,2
Zincke H,2
Bostwick DG,8
Oren H,3
Yaprak I,1
Irken G,2
Bonnemain C,1
De Cataldo F,1
Rondinara GF,1
Degasperi A,1
Bellati G,1
Belli LS,1
Ideo G,1
Kanyike FB,1
Abdul-Salam SA,1
Prakash B,1
Sharhan A,1
Wahib N,1
Youssef AH,1
Laidlaw S,1
Bainton R,1
Wilkie M,1
Saez A,1
Bosh N,1
Boadas N,1
Arguello A,2
Horvat D,1
Dinapoli G,1
Lisciani R,1
Sher GD,1
Ogata T,1
Okuda K,1
Ueno T,6
Saito N,3
Flower R,1
Vanderhaeghen ML,1
Belgaumi AF,1
Patrick CC,1
Lang A,1
Karcher A,2
Engh RA,2
von Schweinitz D,1
Dammeier BG,1
Glüer S,1
Aalto AM,1
Söderling I,1
Ivachnenko V,1
Lifchez A,3
Kaplan B,2
Moise J,2
Valle J,1
Nefedova J,1
Goltsman E,1
Omar MN,1
Shouk TA,1
Khaleq MA,1
Joo YE,1
Rew JS,1
Juhng SW,1
Kim SJ,5
Pisani G,1
Cristiano K,1
Wirz M,1
Bisso G,1
Beneduce F,1
Morace G,1
Rapicetta M,1
Gentili G,2
Ohta H,2
González Ordóñez AJ,1
Medina Rodriguez JM,1
Martín L,1
Alvarez V,1
Coto E,1
Kupisz K,1
Chibowski D,1
Klatka J,1
Klonowski S,1
Stepulak A,1
Okunade MA,1
Essien EM,5
Christie-Taylor GA,1
McAuliffe GL,1
Kiserud T,1
Forbes S,1
Hanson M,1
Sartori TM,1
Maurizio PG,1
Sara P,1
Ugolino L,1
Annalisa A,1
Panagiotis T,1
Massimo F,1
Antonio G,1
Thomas DW,1
Atoyebi W,1
McElwaine-Johnn HA,1
Tokumo K,3
Okuda H,3
Pinkstaff AM,1
van den Berg BM,1
Clijsters PP,2
Meijerman DW,2
Leach M,2
Hampton KK,12
Oztürk MA,1
Haznedaroğlu IC,1
Oztürk MH,1
Ozcebe O,2
Yücel OT,1
Akyol U,1
Hay JW,4
Ernst RL,1
Rochat C,1
McFadyen ML,1
Schwyzer R,3
Gillham A,1
Cruickshank A,1
Rosenwald-Zuckerman T,1
Retzios A,2
Yasmin S,1
Weaver L,1
Neutzling O,2
Nathan CO,1
Franklin S,1
Abreo FW,1
Nassar R,1
de Benedetti A,1
Williams J,3
Stucker FJ,1
Otani A,1
Takagi H,8
Oh H,1
Koyama S,1
Matsumura M,2
Honda Y,2
Robert A,3
Aillaud MF,7
Eschwège V,1
Verdy E,1
Barthet MC,2
Morange PE,11
Juhan-Vague I,4
Erickson GF,1
Novak JA,1
Ferguson DJ,1
Komorowski RA,1
Hopkins JD,1
Rayan GM,1
König JE,1
Tolnay E,1
Wiethege T,1
Müller KM,2
Choudhri TF,1
Hoh BL,1
Prestigiacomo CJ,1
Huang J,5
Kim LJ,1
Schmidt AM,6
Connolly ES Jr,2
Pinsky DJ,2
Hattenbach LO,4
Beeg T,2
Zubcov A,1
Deyashiki Y,1
Takeshita J,1
Petroianu G,1
Toomes M,1
Maleck W,1
Bergler W,1
Rüfer R,1
Singh P,7
Fang XD,1
Zhu J,8
Wu XF,1
Zhang ZC,1
Gu JX,1
Chi CW,1
Chen YF,1
Mungan MU,1
Tuna B,1
Kazimoğlu H,1
Yörükoğlu K,1
Kirkali Z,1
Dönmez A,1
Türker H,1
Sekerci S,1
Kayhan Z,1
Ozbek N,4
Wong MY,3
Gurr JA,1
Lee MY,1
Song DW,3
Möller-Morlang K,1
Tavassoli K,4
Grau E,1
Tenias JM,1
Olaso MA,1
Ferrando I,1
Juan MT,1
Pastor E,1
Perez A,2
Real E,1
Thompson SG,5
Turner RM,1
Turpie AG,3
el-Sayed MS,3
Eastland P,1
Rattu AM,1
Kim DS,4
Kang SK,1
Chi JG,3
Chung JH,1
Suh YL,2
Jang JJ,1
Kim YI,2
Kim WH,2
Valen G,1
Sondén A,1
Vaage J,1
Malm E,1
Kjellström BT,1
Arnold AM,1
Ettinger W,1
Fried L,2
Meilahn E,1
Savage P,1
Hove MG,1
Dinh TV,2
Hannigan EV,2
Lucci JA 3rd,1
Chopra V,2
Smith ER,2
To T,2
Katano H,1
Kurata T,3
Sata T,2
Brown M,2
Pysher T,1
Coffin CM,2
Do H,1
Waller EK,1
Kim SH,16
Kim YJ,7
Hou MC,2
Lin HC,3
Lee FY,2
Wu JC,1
Lee SD,2
Camici M,1
Sagripanti A,5
Vogt PR,3
Stallmach T,1
Niederhäuser U,1
Schneider J,3
Zünd G,3
Lachat M,3
Künzli A,1
Turina MI,2
Hinze P,1
Feyler S,1
Berndt J,1
Knolle J,1
Katenkamp D,3
Hertzberg MS,2
Facey SL,1
Hogg PJ,4
Knutson F,1
Rider J,1
Franck V,1
Joie M,1
Högman CF,7
Pamphilon D,1
Konishi K,1
Kaji M,2
Yabushita K,1
Tsuji M,1
Miwa A,1
LeBlanc R,1
Roy J,3
Demers C,6
Vu L,1
Cantin G,1
Nimura Y,2
Ker CG,1
Chen HY,3
Juan CC,1
Lo HW,1
Shen YY,1
Lee KT,1
Sheen PC,1
Jeanny JC,1
Elsevier S,1
Joshi RL,1
Fayet P,1
Bucchini D,1
Severs JC,1
Carnine M,1
Eguizabal H,1
Mock KK,1
Izumi Y,1
Taniguchi T,5
Maruyama Y,1
Sueda T,1
Damiano BP,1
D'Andrea MR,1
de Garavilla L,1
Cheung WM,1
Andrade-Gordon P,1
Pablo R,1
Vandenberg A,1
Friday RY,1
Pollack IF,1
Bowen A,1
Pollack A,2
Ribbans WJ,2
Rees JL,1
Marcucci R,5
Abbate R,7
Fedi S,2
Gori AM,1
Brunelli T,1
Bruni V,1
Bucciantini S,1
Micheli S,1
Pepe G,1
Prisco D,8
Gensini GF,3
Litzler PY,1
Thomas P,2
Danielou E,1
Lucq J,1
Jacques B,1
Frebourg N,1
Plissonnier D,1
Bastit D,1
Metayer J,1
Peillon C,1
Testart J,1
Watelet J,1
Cordeiro PG,1
Santamaria E,1
Hu QY,1
DiResta GR,1
Reuter VE,1
Tomoda M,1
Maehara Y,2
Kakeji Y,2
Ohno S,2
Ichiyoshi Y,3
Kuwabara I,1
Maruyama H,1
Maruyama IN,1
Kwaan HC,2
Sakurai S,1
Ferasin S,2
Girolami B,8
Horie Y,2
Hodge S,1
Story C,1
Aronen HJ,2
Ruhala M,1
Paetau A,2
Von Boguslawski K,1
Salonen O,1
Jääskeläinen J,1
Warren DL,1
Neuenschwander PF,7
Vitale,1
Gross,1
Magro,1
Hudnall SD,1
Szaniawski WK,1
Högmo A,1
Kuylenstierna R,1
Lindholm J,1
Munck-Wikland E,1
Martin PG,1
Chambers E,1
de Boer OJ,1
Teeling P,1
Becker AE,2
Murozuka T,3
Kimura N,2
Sotoyama K,1
Abe I,1
Izumi H,1
Emura H,1
Takeda Y,2
Nanakawa H,1
Katsubayashi Y,1
Ito H,2
Hirakawa S,1
Mitsunaga S,1
Tadokoro K,1
Kanemitsu K,1
Miyamoto M,1
Yamanaka R,1
Nishioka K,3
Koizumi M,1
Kano H,1
Strmecki L,2
Benedik-Dolnicar M,1
Vouk K,1
Komel R,2
Altinok G,1
Ozdamar SO,1
Sugishita K,1
Nagase H,6
Shiratori Y,1
Omata M,1
Chiacchio R,1
Delrio P,1
Bifano D,1
Avallone M,1
Buzin C,1
Wen C,1
Nguyen V,1
Koshibu K,2
O'Neill EM,1
Rowley J,1
Hansson-Wicher M,1
McCarter S,1
Ragno G,2
Valeri CR,6
Lopez-Barea F,1
Rodriguez-Peralto JL,1
Sanchez-Herrera S,1
Gonzalez-Lopez J,1
Burgos-Lizaldez E,1
Salama SS,1
Jenkin P,1
Pålsson E,1
Petersson A,1
Larsson PO,1
Wilkin MM,1
Lane JW,1
Waterhouse J,1
Reilly T,1
Offenbacher S,1
Savage PJ,4
Rao AK,6
Chouhan V,1
Chen X,14
Boden G,2
Shintaku M,2
Miyaji K,1
Adachi Y,1
Miyagami M,2
Tazoe M,1
Alanay A,1
Acaroglu E,1
Ozdemir O,2
Erçelen O,1
Bulutçu E,1
Surat A,1
Moul JW,1
Ciallella JR,1
Figueiredo H,1
Smith-Swintosky V,1
McGillis JP,1
Kjellberg U,1
Rosén S,9
Hellgren M,5
Osawa S,1
Terashima Y,1
Kimura G,2
Akimoto M,1
Avanogmacr;lu A,1
Celik A,3
Ulman I,1
Ozcan C,1
Gökdemir A,1
Pileri SA,1
Ascani S,1
Milani M,4
Visani G,2
Piccioli M,1
Orcioni GF,1
Poggi S,1
Sabattini E,1
Santini D,1
Falini B,1
Sweetnam PM,1
Yarnell JW,1
Ford RP,1
Oleksowicz L,1
Bhagwati N,1
DeLeon-Fernandez M,1
Parramore B,1
Hanly M,1
Yeh KA,1
McNeely T,1
Baron JF,1
Hamakawa H,2
Omori T,1
Sumida T,2
Tanioka H,1
Sekiguchi S,3
Sato N,2
Türkan H,1
Beyan C,2
Yalçin A,1
Hickethier T,1
Dämmrich J,1
Silber RE,1
Finster S,1
Elert O,1
Haim B,1
Rimon A,2
Ishay JS,2
Rimon S,4
Walther C,1
Hermansson M,1
Zilling T,1
Rider JR,1
Swann ID,1
Winter MA,1
Ali F,2
Pamphilon DH,1
Takebayashi Y,5
Presta M,1
Minischetti M,2
Albini A,5
Bussolino F,3
MacNicol MF,1
Bernasconi S,1
Luciani M,5
Rossi GD,1
Westman J,1
Wallensten R,2
Tuller J,3
Johnson JA,3
Miller R,8
Zapata RE,2
Ordonez SM,2
Blanco M,1
Magallon M,3
Freiburghaus C,4
Gunnarsson M,4
Kjellberg B,1
Nilsson IM,88
Thomas KB,8
Urbancik W,1
Schreiber J,1
Weber A,10
Schönhofer W,1
Strauss M,3
Linnau Y,2
Schoppmann A,2
Seremetis S,11
Abildgaard CF,18
Allred R,1
Rand T,1
Trattnig S,1
Male C,20
Heinz-Peer G,1
Imhof H,1
Wandl-Vergesslich K,1
Higuchi M,15
Antonarakis SE,34
Fujita N,1
Yamanaka T,2
Matsunaga T,2
Akazawa H,1
Bendetowicz AV,2
Wise RJ,5
Inadomi T,1
Tan M,2
Shigematsu C,1
Emi N,4
Abe A,2
Sumi Y,1
Hata KI,1
Giri D,1
Ittmann M,1
Ishii N,2
Suzuki F,1
Saito A,6
Ishi K,1
Koyatsu J,1
Maruyama T,1
Suda K,1
Johnson MJ,2
Sproule MW,1
Conkie J,1
Gershoni JM,1
Thorelli E,3
Baker DC,1
Robbe SL,1
Holler L,1
Lefkowitz J,1
Marchi R,2
Carvajal Z,1
Hinks JL,1
Winship PR,16
Lilley PA,2
Wong KT,2
Shamsol S,1
Bandyopadhyay P,2
Linehan-Stieers C,1
Kren BT,4
Steer CJ,4
Thomason HC 3rd,1
Wilson FC,2
Lachiewicz PF,3
Kelley SS,2
Kurth AA,4
Ludwig G,1
Hovy L,4
Müller S,2
Pons S,2
Schmidt H,4
Kornhuber B,8
Stearns ME,1
Fudge K,1
Rhim J,1
Wang M,38
Takabe K,1
Bidlingmaier SM,2
Ill CR,2
Massey M,1
Montejo JM,1
Tizzano E,2
Paz A,1
Konichezsky M,1
Sadikov E,1
Klein B,1
Livne P,1
Goodman ZD,2
Rivera J,3
Casamiquela R,1
Bravo MI,4
Castillo R,2
Vicente V,12
Arnout J,16
Johnson KM,2
Freson K,2
Neerman-Arbez M,3
Morris MA,3
Rossier C,1
Liao DZ,1
McGlasson DL,3
Brickey DA,1
Doe RH,1
Wenzel T,1
Pindur G,9
Mörsdorf S,3
Giacchi J,1
Hutter JJ,2
Miller S,2
Schmidt ML,2
Seibel NL,1
